Time,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time (ms),Total Average Response Time (ms),Total Min Response Time (ms),Total Max Response Time (ms),Total Average Content Size,%CPU,%MEM,%Failure
18:26:44,112,,Aggregated,40.7,0.0,4.0,5.0,6.0,7.0,9.0,12.0,15.0,18.0,27.0,28.0,28.0,1332,0,4.0,5.596262262043821,3.145236005366314,28.058013995178044,17294.09984984985,5.0,0.1,0.0
18:26:45,114,,Aggregated,40.8,0.0,4.0,5.0,6.0,7.0,9.0,12.0,15.0,18.0,27.0,28.0,28.0,1370,0,4.0,5.5820865467746055,3.145236005366314,28.058013995178044,17268.02481751825,5.0,0.1,0.0
18:26:46,116,,Aggregated,41.7,0.0,4.0,5.0,6.0,7.0,9.0,12.0,15.0,18.0,27.0,28.0,28.0,1419,0,4.0,5.644373574394321,3.145236005366314,28.058013995178044,17161.8689217759,5.2,0.1,0.0
18:26:47,118,,Aggregated,43.1,0.0,4.0,5.0,6.0,7.0,9.0,12.0,15.0,18.0,27.0,28.0,28.0,1468,0,4.0,5.603993842708948,3.145236005366314,28.058013995178044,16964.713215258857,5.2,0.1,0.0
18:26:48,120,,Aggregated,42.3,0.0,4.0,5.0,6.0,7.0,9.0,12.0,15.0,18.0,27.0,28.0,28.0,1511,0,4.0,5.6203978299585104,3.145236005366314,28.058013995178044,16846.076770350763,5.4,0.1,0.0
18:26:49,122,,Aggregated,44.2,0.0,4.0,5.0,6.0,7.0,9.0,12.0,15.0,18.0,27.0,28.0,28.0,1566,0,4.0,5.601485050505461,3.145236005366314,28.058013995178044,16860.561941251595,5.5,0.1,0.0
18:26:50,124,,Aggregated,44.1,0.0,4.0,5.0,6.0,7.0,9.0,12.0,15.0,18.0,27.0,28.0,28.0,1610,0,4.0,5.599844280183127,3.145236005366314,28.058013995178044,16764.05590062112,5.5,0.1,0.0
18:26:51,126,,Aggregated,45.4,0.0,4.0,5.0,6.0,7.0,9.0,12.0,15.0,18.0,27.0,28.0,28.0,1661,0,4.0,5.587682898279804,3.145236005366314,28.058013995178044,16624.525586995787,5.6,0.1,0.0
18:26:52,128,,Aggregated,45.9,0.0,4.0,5.0,6.0,7.0,9.0,12.0,15.0,17.0,27.0,28.0,28.0,1715,0,4.0,5.600813850176686,3.145236005366314,28.058013995178044,16528.662973760933,5.7,0.1,0.0
18:26:53,130,,Aggregated,46.4,0.0,4.0,5.0,6.0,7.0,9.0,12.0,15.0,17.0,27.0,28.0,28.0,1765,0,4.0,5.581379381883045,3.145236005366314,28.058013995178044,16373.31954674221,5.8,0.1,0.0
18:26:54,132,,Aggregated,47.7,0.0,4.0,5.0,6.0,7.0,9.0,12.0,14.0,17.0,27.0,28.0,28.0,1811,0,4.0,5.586656387638377,3.145236005366314,28.058013995178044,16361.20320265047,5.9,0.1,0.0
18:26:55,134,,Aggregated,48.8,0.0,4.0,5.0,6.0,7.0,9.0,12.0,14.0,17.0,27.0,28.0,28.0,1864,0,4.0,5.567437184039544,3.145236005366314,28.058013995178044,16327.937768240345,6.0,0.1,0.0
18:26:56,136,,Aggregated,48.0,0.0,4.0,5.0,6.0,7.0,9.0,12.0,14.0,17.0,27.0,28.0,28.0,1928,0,4.0,5.568183260400783,3.145236005366314,28.058013995178044,16278.935165975105,6.1,0.1,0.0
18:26:57,138,,Aggregated,48.7,0.0,4.0,5.0,6.0,7.0,9.0,12.0,15.0,18.0,27.0,28.0,28.0,1982,0,4.0,5.60316167306757,3.145236005366314,28.058013995178044,16168.777497477296,6.2,0.1,0.0
18:26:58,140,,Aggregated,51.3,0.0,4.0,5.0,6.0,7.0,9.0,12.0,15.0,18.0,27.0,28.0,28.0,2035,0,4.0,5.600434552836094,3.145236005366314,28.058013995178044,16054.390663390664,6.3,0.1,0.0
18:26:59,142,,Aggregated,51.2,0.0,4.0,5.0,6.0,7.0,9.0,11.0,14.0,17.0,27.0,28.0,28.0,2102,0,4.0,5.588550112281188,3.145236005366314,28.058013995178044,16081.570409134158,6.4,0.1,0.0
18:27:00,144,,Aggregated,52.2,0.0,4.0,5.0,6.0,7.0,9.0,11.0,14.0,17.0,27.0,28.0,28.0,2159,0,4.0,5.593136867074687,3.145236005366314,28.058013995178044,16046.73506252895,6.6,0.1,0.0
18:27:01,146,,Aggregated,53.0,0.0,4.0,5.0,6.0,7.0,9.0,11.0,14.0,17.0,27.0,28.0,28.0,2208,0,4.0,5.597387611876489,3.145236005366314,28.058013995178044,16103.476449275362,6.6,0.1,0.0
18:27:02,148,,Aggregated,54.6,0.0,4.0,5.0,6.0,7.0,9.0,11.0,14.0,17.0,27.0,28.0,28.0,2274,0,4.0,5.603267174147726,3.145236005366314,28.058013995178044,16117.675021987689,6.7,0.1,0.0
18:27:03,150,,Aggregated,55.4,0.0,4.0,5.0,6.0,7.0,9.0,12.0,15.0,17.0,27.0,28.0,28.0,2328,0,4.0,5.621391862549058,3.145236005366314,28.058013995178044,16074.195446735395,6.8,0.1,0.0
18:27:04,152,,Aggregated,55.3,0.0,4.0,5.0,6.0,7.0,9.0,11.0,14.0,17.0,27.0,28.0,28.0,2388,0,4.0,5.609773285602266,3.145236005366314,28.058013995178044,16113.418760469012,7.0,0.1,0.0
18:27:05,154,,Aggregated,56.1,0.0,4.0,5.0,6.0,7.0,9.0,12.0,14.0,17.0,27.0,28.0,28.0,2459,0,4.0,5.664203361135113,3.145236005366314,28.058013995178044,16079.635217568117,7.1,0.1,0.0
